i,t
6019,12
6020,1
6024,1
6028,1
6038,1
6045,1
6046,1
6052,1
6053,1
6062,1
6063,1
6067,1
6088,1
6099,7
6114,1
6121,1
6129,1
6131,1
6132,1
6134,1
6136,1
6137,1
6139,1
6140,1
6143,1
6144,1
6147,1
6148,1
6149,1
6154,1
6157,1
6163,1
6164,1
6165,1
6168,1
6172,1
6180,1
6186,1
6219,1
6220,1
6235,5
6238,1
6244,1
6257,1
6299,1
6305,1
6306,1
6328,1
6332,1
6342,1
6349,1
6354,1
6355,1
6358,1
6374,1
6382,1
6383,1
6398,1
6433,1
6437,1
6443,1
6449,12
6453,1
6457,1
6462,1
6464,1
6498,1
6501,1
6504,1
6513,1
6519,1
6536,1
6542,1
6544,1
6545,1
6554,1
6558,1
6560,1
6567,1
6568,1
6585,1
6594,1
6595,1
6598,1
6602,1
6620,1
6622,1
6624,1
6639,13
6659,1
6661,1
6668,1
6670,4
6672,1
6692,1
6717,1
6723,1
6737,1
6738,1
6739,1
6764,1
6765,1
6767,2
6769,1
6770,7
6772,12
6773,6
6779,1
6780,1
6781,1
6789,1
6799,0
6810,1
6815,1
6816,14
6823,1
6829,1
6831,1
6834,3
6839,1
6848,1
6855,1
6862,1
6872,4
6877,1
6883,1
6887,1
6896,1
6910,1
6920,1
6925,0
6926,8
6930,1
6934,1
6936,1
6938,1
6939,1
6941,1
6951,1
6957,1
6960,1
6962,5
6985,1
6990,1
7009,1
7017,13
7034,1
7039,1
7053,1
7060,1
7068,1
7079,1
7088,1
7098,1
7099,1
7106,1
7108,1
7112,1
7113,1
7125,1
7130,1
7135,1
7140,1
7146,1
7150,11
7151,1
7153,1
7155,1
7163,1
7166,1
7170,15
7173,1
7175,1
7199,8
7200,5
7201,1
7202,5
7203,0
7204,1
7205,1
7206,0
7208,1
7209,1
7222,4
7225,1
7229,1
7230,1
7233,1
7234,1
7236,1
7237,1
7239,1
7241,1
7245,4
7247,1
7248,1
7250,1
7254,1
7257,14
7280,1
7284,1
7287,1
7294,1
7327,1
7355,1
7356,1
7364,1
7367,4
7368,1
7369,1
7370,1
7373,1
7374,1
7375,1
7377,1
7378,1
7381,1
7383,1
7392,1
7396,1
7399,1
7400,1
7402,1
7405,10
7409,1
7412,1
7413,1
7417,1
7420,1
7425,1
7428,1
7429,1
7430,1
7431,1
7436,1
7440,1
7441,1
7444,9
7451,0
7460,1
7478,4
7479,3
7515,1
7540,14
7541,1
7554,1
7571,2
